_action_text,_bill,_committees,_date,_status,_time,_type
Placed on Senate Legislative Calendar under General Orders. Calendar No. 110.,s27,,2011-01-22,,,calendar
Sponsor introductory remarks on measure.,s28,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s28,SSCM,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s29,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s29,SSEG,2011-01-25,REFERRED,,referral
Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held. With printed Hearing: S.Hrg. 112-401.,s29,SSEG,2012-01-07,,,hearings
Read twice and referred to the Committee on Finance.,s30,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s31,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on the Judiciary.,s32,SSJU,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s33,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s33,SSEV,2011-01-25,REFERRED,,referral
Read twice and referred to the Committee on the Judiciary.,s34,SSJU,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on the Judiciary.,s35,SSJU,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s36,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s37,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s38,SSFI,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s39,SSHR,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s40,SSHR,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s41,SSHR,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s42,SSHR,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s43,SSHR,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s44,SSFI,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s45,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s45,SSFI,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s46,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s46,SSCM,2011-01-25,REFERRED,,referral
"Committee on Commerce, Science, and Transportation. Ordered to be reported without amendment favorably.",s46,SSCM,2011-01-05,REPORTED,,calendar
"Committee on Commerce, Science, and Transportation. Reported by Senator Rockefeller without amendment. With written report No. 112-210.",s46,SSCM,2012-01-12,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 506.,s46,,2012-01-12,,,calendar
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s47,SSGA,2011-01-25,INTRODUCED,,referral
"Committee on Homeland Security and Governmental Affairs referred to Subcommittee on Oversight of Government Management, the Federal Workforce, and the District of Columbia.",s47,SSGA,2011-01-09,,,referral
Sponsor introductory remarks on measure.,s48,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s48,SSHR,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s49,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s49,SSJU,2011-01-25,REFERRED,,referral
Committee on the Judiciary. Ordered to be reported without amendment favorably.,s49,SSJU,2011-01-03,REPORTED,,calendar
Committee on the Judiciary. Reported by Senator Leahy without amendment. Without written report.,s49,SSJU,2011-01-28,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 19.,s49,,2011-01-28,,,calendar
By Senator Leahy from Committee on the Judiciary filed written report. Report No. 112-38.,s49,SSJU,2011-01-18,,,action
Sponsor introductory remarks on measure.,s50,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s50,SSCM,2011-01-25,REFERRED,,referral
"Committee on Commerce, Science, and Transportation. Ordered to be reported without amendment favorably.",s50,SSCM,2011-01-08,REPORTED,,calendar
"Committee on Commerce, Science, and Transportation. Reported by Senator Rockefeller without amendment. With written report No. 112-131.",s50,SSCM,2012-01-26,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 297.,s50,,2012-01-26,,,calendar
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s51,SSHR,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s52,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s52,SSCM,2011-01-25,REFERRED,,referral
"Committee on Commerce, Science, and Transportation. Ordered to be reported without amendment favorably.",s52,SSCM,2011-01-05,REPORTED,,calendar
"Committee on Commerce, Science, and Transportation. Reported by Senator Rockefeller without amendment. With written report No. 112-132.",s52,SSCM,2012-01-26,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 298.,s52,,2012-01-26,,,calendar
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s53,SSHR,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s54,SSHR,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s55,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s56,SSFI,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s57,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s57,SSFI,2011-01-25,REFERRED,,referral
Read twice and referred to the Committee on Finance.,s58,SSFI,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s59,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s59,SSFI,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s60,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s60,SSJU,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s61,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Indian Affairs.,s61,SLIA,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s62,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s62,SSBK,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s63,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Veterans' Affairs.,s63,SSVA,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s64,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s64,SSGA,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s65,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Indian Affairs.,s65,SLIA,2011-01-25,REFERRED,,referral
Committee on Indian Affairs. Ordered to be reported without amendment favorably.,s65,SLIA,2012-01-20,REPORTED,,calendar
Read twice and referred to the Committee on Indian Affairs.,s66,SLIA,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s67,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Armed Services.,s67,SSAS,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s68,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Armed Services.,s68,SSAS,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s69,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s69,SSCM,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s70,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s70,SSJU,2011-01-25,REFERRED,,referral
Read twice and referred to the Committee on Indian Affairs.,s71,SLIA,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s72,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s73,SSFI,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s74,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s74,SSCM,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s75,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s75,SSJU,2011-01-25,REFERRED,,referral
Committee on the Judiciary. Ordered to be reported without amendment favorably.,s75,SSJU,2011-01-03,REPORTED,,calendar
Committee on the Judiciary. Reported by Senator Leahy without amendment. Without written report.,s75,SSJU,2011-01-03,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 215.,s75,,2011-01-03,,,calendar
Read twice and referred to the Committee on Environment and Public Works.,s76,SSEV,2011-01-25,INTRODUCED,,referral
Committee on Environment and Public Works. Hearings held. Hearings printed: S.Hrg. 112-828.,s76,SSEV,2011-01-29,,,hearings
Committee on Environment and Public Works. Ordered to be reported without amendment favorably.,s76,SSEV,2011-01-09,REPORTED,,calendar
Committee on Environment and Public Works. Reported by Senator Boxer without amendment. With written report No. 112-213. Minority views filed.,s76,SSEV,2012-01-19,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 514.,s76,,2012-01-19,,,calendar
Star Print ordered on on the report (112-213).,s76,,2012-01-11,,,action
Read twice and referred to the Committee on Environment and Public Works.,s77,SSEV,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Environment and Public Works.,s78,SSEV,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Environment and Public Works.,s79,SSEV,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s80,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s80,SSFI,2011-01-25,REFERRED,,referral
Read twice and referred to the Committee on Rules and Administration.,s81,SSRA,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s82,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s83,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s84,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s85,SSFI,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s86,SSBK,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Armed Services.,s87,SSAS,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s88,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s89,SSFI,2011-01-25,INTRODUCED,,referral
Star Print ordered on on the bill.,s89,,2011-01-11,,,action
Read twice and referred to the Committee on Armed Services.,s90,SSAS,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on the Judiciary.,s91,SSJU,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s92,SSHR,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s93,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s94,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s95,SSFI,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s96,SSHR,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Environment and Public Works.,s97,SSEV,2011-01-25,INTRODUCED,,referral
Committee on Environment and Public Works. Ordered to be reported with an amendment favorably.,s97,SSEV,2011-01-21,REPORTED,,calendar
Committee on Environment and Public Works. Reported by Senator Boxer with an amendment. With written report No. 112-136.,s97,SSEV,2012-01-26,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 302.,s97,,2012-01-26,,,calendar
Read twice and referred to the Committee on Finance.,s98,SSFI,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s99,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s99,SSEG,2011-01-25,REFERRED,,referral
Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 112-4.,s99,SSEG,2011-01-01,,,hearings
Committee on Energy and Natural Resources. Ordered to be reported with an amendment in the nature of a substitute favorably.,s99,SSEG,2011-01-12,REPORTED,,calendar
Committee on Energy and Natural Resources. Reported by Senator Bingaman with an amendment in the nature of a substitute. With written report No. 112-17.,s99,SSEG,2011-01-18,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 53.,s99,,2011-01-18,,,calendar
Measure laid before Senate by unanimous consent.,s99,,2011-01-17,,,action
Passed Senate with an amendment by Unanimous Consent.,s99,,2011-01-17,PASS_OVER:SENATE,,vote
Message on Senate action sent to the House.,s99,,2011-01-18,,,action
Received in the House.,s99,,2011-01-18,,10:04:00,action
"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Science, Space, and Technology, and the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",s99,HSIF,2011-01-18,,,referral
Referred to House Energy and Commerce,s99,HSIF,2011-01-18,,,referral
Referred to the Subcommittee on Energy and Power.,s99,,2011-01-18,,,referral
"Referred to House Science, Space, and Technology",s99,HSSY,2011-01-18,,,referral
Referred to House Budget,s99,HSBU,2011-01-18,,,referral
Referred to the Subcommittee on Energy and Environment.,s99,,2011-01-02,,,referral
Read twice and referred to the Committee on Finance.,s100,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s101,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on the Budget.,s102,SSBU,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s103,SSHR,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Environment and Public Works.,s104,SSEV,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s105,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s106,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s107,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s108,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s109,SSFI,2011-01-25,INTRODUCED,,referral
Senate Committee on Finance discharged by Unanimous Consent.,s109,SSFI,2011-01-03,,,action
Referred to the Committee on Foreign Relations.,s109,SSFR,2011-01-03,,,referral
Read twice and referred to the Committee on Finance.,s110,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Rules and Administration.,s111,SSRA,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s112,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s112,SSEV,2011-01-25,REFERRED,,referral
Read twice and referred to the Committee on Finance.,s113,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Energy and Natural Resources.,s114,SSEG,2011-01-25,INTRODUCED,,referral
Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held. With printed Hearing: S.Hrg. 112-124.,s114,SSEG,2011-01-11,,,hearings
Committee on Energy and Natural Resources. Ordered to be reported with an amendment in the nature of a substitute favorably.,s114,SSEG,2011-01-10,REPORTED,,calendar
Committee on Energy and Natural Resources. Reported by Senator Bingaman under authority of the order of the Senate of 12/17/2011 with an amendment in the nature of a substitute. With written report No. 112-103.,s114,SSEG,2012-01-13,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 265.,s114,,2012-01-13,,,calendar
Measure laid before Senate by unanimous consent.,s114,,2012-01-30,,,action
The committee substitute as amended agreed to by Unanimous Consent.,s114,,2012-01-30,,,action
Passed Senate with an amendment and an amendment to the Title by Unanimous Consent.,s114,,2012-01-30,PASS_OVER:SENATE,,vote
Received in the House.,s114,,2012-01-31,,12:04:00,action
Message on Senate action sent to the House.,s114,,2012-01-31,,,action
Held at the desk.,s114,,2012-01-31,,17:03:00,action
Read twice and referred to the Committee on Environment and Public Works.,s115,SSEV,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s116,SSCM,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s117,SSBK,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s118,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s119,SSGA,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s120,SSGA,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s121,SSHR,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Energy and Natural Resources.,s122,SSEG,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on the Budget.,s123,SSBU,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s124,SSHR,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s125,SSGA,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Rules and Administration.,s126,SSRA,2011-01-25,INTRODUCED,,referral
Senate Committee on Rules and Administration discharged by Unanimous Consent.,s126,SSRA,2011-01-03,,,action
Referred to the Committee on Foreign Relations.,s126,SSFR,2011-01-03,,,referral
Read twice and referred to the Committee on Energy and Natural Resources.,s127,SSEG,2011-01-25,INTRODUCED,,referral
Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held. With printed Hearing: S.Hrg. 112-124.,s127,SSEG,2011-01-11,,,hearings
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s128,SSGA,2011-01-25,INTRODUCED,,referral
Committee on Homeland Security and Governmental Affairs. Hearings held. Hearings printed: S.Hrg. 112-220.,s128,SSGA,2011-01-23,,,hearings
Committee on Homeland Security and Governmental Affairs. Hearings held. Hearings printed: S.Hrg. 112-220.,s128,SSGA,2011-01-20,,,hearings
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s129,SSGA,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Rules and Administration.,s130,SSRA,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Environment and Public Works.,s131,SSEV,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s132,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s132,SSJU,2011-01-25,REFERRED,,referral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s133,SSGA,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s134,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Indian Affairs.,s134,SLIA,2011-01-25,REFERRED,,referral
Committee on Indian Affairs. Hearings held. Hearings printed: S.Hrg. 112-492.,s134,SLIA,2011-01-20,,,hearings
Committee on Indian Affairs. Ordered to be reported without amendment favorably.,s134,SLIA,2012-01-28,REPORTED,,calendar
Committee on Indian Affairs. Reported by Senator Akaka without amendment. With written report No. 112-218.,s134,SLIA,2012-01-19,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 522.,s134,,2012-01-19,,,calendar
Read twice and referred to the Committee on Finance.,s135,SSFI,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s136,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s136,SSHR,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s137,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s137,SSHR,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s138,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s138,SSEG,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s139,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s139,SSJU,2011-01-25,REFERRED,,referral
Read twice and referred to the Committee on Energy and Natural Resources.,s140,SSEG,2011-01-25,INTRODUCED,,referral
Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held. With printed Hearing: S.Hrg. 112-124.,s140,SSEG,2011-01-11,,,hearings
Committee on Energy and Natural Resources. Ordered to be reported without amendment favorably.,s140,SSEG,2011-01-10,REPORTED,,calendar
Committee on Energy and Natural Resources. Reported by Senator Bingaman under authority of the order of the Senate of 12/17/2011 without amendment. With written report No. 112-104.,s140,SSEG,2012-01-13,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 266.,s140,,2012-01-13,,,calendar
Passed Senate without amendment by Unanimous Consent.,s140,,2012-01-30,PASS_OVER:SENATE,,vote
Received in the House.,s140,,2012-01-31,,12:04:00,action
Message on Senate action sent to the House.,s140,,2012-01-31,,,action
Referred to the House Committee on Natural Resources.,s140,HSII,2012-01-31,,,referral
"Referred to the Subcommittee on National Parks, Forests and Public Lands.",s140,,2013-01-02,,,referral
Read twice and referred to the Committee on Finance.,s141,SSFI,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",s142,HSAG,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s143,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Energy and Natural Resources.,s144,SSEG,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s145,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s146,SSFI,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s147,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s147,SSEV,2011-01-25,REFERRED,,referral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s148,SSGA,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s149,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s149,SSJU,2011-01-25,REFERRED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s150,SSHR,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s151,SSHR,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s152,SSCM,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s153,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s153,SSHR,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s154,,2011-01-25,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s154,SSHR,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s155,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s155,SSFI,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s156,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s156,SSEG,2011-01-25,REFERRED,,referral
Sponsor introductory remarks on measure.,s157,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s157,SSFI,2011-01-25,REFERRED,,referral
